State Name,County Name,Date,Arithmetic Mean_PRESS,1st Max Value_PRESS,1st Max Hour_PRESS,Arithmetic Mean_RH_DP,1st Max Value_RH_DP,1st Max Hour_RH_DP,Arithmetic Mean_TEMP,1st Max Value_TEMP,1st Max Hour_TEMP,Arithmetic Mean_WIND_SPEED,1st Max Value_WIND_SPEED,1st Max Hour_WIND_SPEED,Arithmetic Mean_WIND_DIRECTION,1st Max Value_WIND_DIRECTION,1st Max Hour_WIND_DIRECTION,Arithmetic Mean_ozone,1st Max Value_ozone,1st Max Hour_ozone,Arithmetic Mean_so2,1st Max Value_so2,1st Max Hour_so2,Arithmetic Mean_co,1st Max Value_co,1st Max Hour_co,Arithmetic Mean_no2,1st Max Value_no2,1st Max Hour_no2,AQI,Category
Arizona,Maricopa,2024-01-01,977.6,978.9,10,64.541667,85.0,7,50.375,62.0,15,0.916667,1.7,22,244.041667,352.0,13,0.007882,0.016,9,0.583333,2.0,0,1.057895,2.6,5,22.083333,34.0,20,261,Very Unhealthy
Arizona,Maricopa,2024-01-01,977.6,978.9,10,64.541667,85.0,7,50.375,62.0,15,0.916667,1.7,22,244.041667,352.0,13,0.009,0.021,10,0.95,2.3,21,0.757895,1.3,8,22.2,37.3,18,261,Very Unhealthy
Arizona,Maricopa,2024-01-02,980.770833,983.2,10,58.791667,84.0,7,51.333333,65.0,14,1.045833,2.3,13,173.416667,359.0,1,0.012765,0.024,10,0.5,2.0,11,0.495833,0.7,23,25.041667,40.0,19,80,Moderate
Arizona,Maricopa,2024-01-02,980.770833,983.2,10,58.791667,84.0,7,51.333333,65.0,14,1.045833,2.3,13,173.416667,359.0,1,0.012294,0.029,10,0.725,1.4,8,0.5,0.7,0,22.558333,38.7,19,80,Moderate
Arizona,Maricopa,2024-01-03,976.008333,980.5,0,61.333333,84.0,23,50.958333,64.0,13,2.154167,7.9,19,156.916667,310.0,4,0.026824,0.034,19,0.083333,1.0,8,0.320833,0.7,0,16.416667,24.0,7,59,Moderate
Arizona,Maricopa,2024-01-03,976.008333,980.5,0,61.333333,84.0,23,50.958333,64.0,13,2.154167,7.9,19,156.916667,310.0,4,0.026471,0.031,13,0.630435,1.2,7,0.564706,0.9,1,17.608696,28.4,0,59,Moderate
Arizona,Maricopa,2024-01-04,975.791667,977.7,20,67.5,91.0,6,49.583333,58.0,14,2.408333,4.2,15,216.583333,321.0,5,0.019765,0.034,10,0.0,0.0,0,0.091667,0.2,22,13.875,29.0,22,38,Good
Arizona,Maricopa,2024-01-04,975.791667,977.7,20,67.5,91.0,6,49.583333,58.0,14,2.408333,4.2,15,216.583333,321.0,5,0.017706,0.033,10,0.3625,0.6,23,0.245833,0.4,23,14.8625,31.5,22,38,Good
Arizona,Maricopa,2024-01-05,977.9125,979.9,9,64.083333,86.0,6,47.125,57.0,13,1.233333,3.4,9,105.333333,327.0,2,0.008235,0.018,10,0.208333,1.0,5,0.325,0.6,23,21.666667,31.0,20,64,Moderate
Arizona,Maricopa,2024-01-05,977.9125,979.9,9,64.083333,86.0,6,47.125,57.0,13,1.233333,3.4,9,105.333333,327.0,2,0.010588,0.025,9,0.604167,1.2,23,0.4,0.7,23,18.558333,31.9,19,64,Moderate
Arizona,Maricopa,2024-01-06,978.0125,982.2,9,58.708333,85.0,6,47.708333,61.0,14,1.45,3.0,23,134.833333,355.0,8,0.015941,0.026,11,0.208333,1.0,1,0.45,0.9,2,16.958333,31.0,21,76,Moderate
Arizona,Maricopa,2024-01-06,978.0125,982.2,9,58.708333,85.0,6,47.708333,61.0,14,1.45,3.0,23,134.833333,355.0,8,0.015588,0.027,10,0.575,1.4,8,0.554167,1.0,2,18.354167,31.0,20,76,Moderate
