State Name,County Name,Date Local,Local Site Name,Arithmetic Mean_ozone,1st Max Value_ozone,1st Max Hour_ozone,Arithmetic Mean_so2,1st Max Value_so2,1st Max Hour_so2,Arithmetic Mean_co,1st Max Value_co,1st Max Hour_co,Arithmetic Mean_no2,1st Max Value_no2,1st Max Hour_no2
Alabama,Jefferson,2023-01-01,North Birmingham,0.031588,0.041,9,-0.0875,0.0,11,0.126316,0.2,19,5.2375,16.5,18
Alabama,Jefferson,2023-01-02,North Birmingham,0.019824,0.023,22,0.329167,0.9,8,0.1375,0.3,0,4.975,9.6,7
Alabama,Jefferson,2023-01-03,North Birmingham,0.021471,0.023,22,0.0,0.3,6,0.1125,0.2,17,5.4625,9.9,17
Alabama,Jefferson,2023-01-04,North Birmingham,0.017235,0.04,9,-0.016667,0.6,22,0.15,0.5,23,10.6625,29.6,18
Alabama,Jefferson,2023-01-05,North Birmingham,0.030412,0.041,9,0.330769,1.0,17,0.46,0.6,0,12.245455,22.1,0
Alabama,Jefferson,2023-01-06,North Birmingham,0.016235,0.039,9,0.357895,1.7,23,0.244444,0.4,22,17.347619,31.8,18
Alabama,Jefferson,2023-01-07,North Birmingham,0.046,0.05,10,1.6875,4.9,23,0.35,0.5,0,11.333333,21.4,0
Alabama,Jefferson,2023-01-08,North Birmingham,0.029941,0.036,7,0.245833,1.3,0,0.116667,0.2,0,4.3625,8.4,17
Alabama,Jefferson,2023-01-09,North Birmingham,0.014706,0.033,9,0.191667,0.4,20,0.158333,0.3,21,10.508333,30.2,20
Alabama,Jefferson,2023-01-10,North Birmingham,0.022588,0.032,8,0.95,3.4,9,0.391667,0.6,9,17.0125,29.2,17
Alabama,Jefferson,2023-01-11,North Birmingham,0.024059,0.028,21,0.571429,2.1,19,0.216667,0.4,0,9.113636,18.7,0
Alabama,Jefferson,2023-01-12,North Birmingham,0.026941,0.032,11,0.2125,0.4,2,0.104167,0.2,0,4.3,11.6,13
Alabama,Jefferson,2023-01-13,North Birmingham,0.025941,0.027,22,-0.070588,0.1,0,0.1,0.1,0,2.282353,3.9,0
Alabama,Jefferson,2023-01-14,North Birmingham,0.021353,0.034,9,-0.141667,1.2,23,0.120833,0.2,19,4.970833,25.6,23
Alabama,Jefferson,2023-01-15,North Birmingham,0.013765,0.032,9,1.275,6.1,9,0.254167,0.6,23,15.670833,31.8,17
Alabama,Jefferson,2023-01-16,North Birmingham,0.036882,0.039,11,1.1625,3.2,2,0.329167,0.6,0,12.1625,27.6,7
Alabama,Jefferson,2023-01-17,North Birmingham,0.010118,0.021,8,0.170833,3.1,0,0.229167,0.6,22,11.425,24.6,9
Alabama,Jefferson,2023-01-18,North Birmingham,0.028706,0.035,21,-0.083333,0.4,22,0.270833,0.6,0,8.666667,16.7,4
Alabama,Jefferson,2023-01-19,North Birmingham,0.034353,0.042,9,0.105263,0.9,1,0.11875,0.2,8,6.452381,24.3,7
Alabama,Jefferson,2023-01-20,North Birmingham,0.024882,0.033,9,-0.163158,0.0,4,0.13125,0.2,19,7.847619,16.8,22
Alabama,Jefferson,2023-01-21,North Birmingham,0.029,0.034,9,-0.1375,0.1,7,0.179167,0.2,0,6.091667,12.1,1
Alabama,Jefferson,2023-01-22,North Birmingham,0.022353,0.024,17,-0.1125,0.0,2,0.158333,0.2,0,4.154167,8.4,10
Alabama,Jefferson,2023-01-23,North Birmingham,0.016294,0.036,9,-0.0375,1.6,22,0.133333,0.3,22,8.841667,25.9,22
Alabama,Jefferson,2023-01-24,North Birmingham,0.035353,0.038,11,0.570833,3.1,13,0.291667,0.4,1,10.541667,22.2,0
Alabama,Jefferson,2023-01-25,North Birmingham,0.029529,0.032,15,0.183333,1.9,8,0.141667,0.2,0,4.954167,10.5,3
Alabama,Jefferson,2023-01-26,North Birmingham,0.027647,0.035,9,-0.186364,0.1,7,0.116667,0.2,20,5.0,12.6,22
Alabama,Jefferson,2023-01-27,North Birmingham,0.024059,0.039,9,0.020833,0.5,15,0.2375,0.4,22,14.479167,37.2,18
Alabama,Jefferson,2023-01-28,North Birmingham,0.040471,0.043,10,0.225,1.5,8,0.229167,0.4,0,10.208333,24.2,8
Alabama,Jefferson,2023-01-29,North Birmingham,0.019353,0.031,7,0.383333,3.1,8,0.1625,0.2,9,8.991667,17.2,17
Alabama,Jefferson,2023-01-30,North Birmingham,0.014,0.027,9,-0.108333,0.3,6,0.2125,0.3,21,10.4875,20.6,19
