State Name,County Name,Date Local,Local Site Name,Arithmetic Mean_ozone,1st Max Value_ozone,1st Max Hour_ozone,Arithmetic Mean_so2,1st Max Value_so2,1st Max Hour_so2,Arithmetic Mean_co,1st Max Value_co,1st Max Hour_co,Arithmetic Mean_no2,1st Max Value_no2,1st Max Hour_no2
Arizona,Maricopa,2024-01-01,CENTRAL PHOENIX,0.007882,0.016,9,0.583333,2.0,0,1.057895,2.6,5,22.083333,34.0,20
Arizona,Maricopa,2024-01-01,JLG SUPERSITE,0.009,0.021,10,0.95,2.3,21,0.757895,1.3,8,22.2,37.3,18
Arizona,Maricopa,2024-01-02,CENTRAL PHOENIX,0.012765,0.024,10,0.5,2.0,11,0.495833,0.7,23,25.041667,40.0,19
Arizona,Maricopa,2024-01-02,JLG SUPERSITE,0.012294,0.029,10,0.725,1.4,8,0.5,0.7,0,22.558333,38.7,19
Arizona,Maricopa,2024-01-03,CENTRAL PHOENIX,0.026824,0.034,19,0.083333,1.0,8,0.320833,0.7,0,16.416667,24.0,7
Arizona,Maricopa,2024-01-03,JLG SUPERSITE,0.026471,0.031,13,0.630435,1.2,7,0.564706,0.9,1,17.608696,28.4,0
Arizona,Maricopa,2024-01-04,CENTRAL PHOENIX,0.019765,0.034,10,0.0,0.0,0,0.091667,0.2,22,13.875,29.0,22
Arizona,Maricopa,2024-01-04,JLG SUPERSITE,0.017706,0.033,10,0.3625,0.6,23,0.245833,0.4,23,14.8625,31.5,22
Arizona,Maricopa,2024-01-05,CENTRAL PHOENIX,0.008235,0.018,10,0.208333,1.0,5,0.325,0.6,23,21.666667,31.0,20
Arizona,Maricopa,2024-01-05,JLG SUPERSITE,0.010588,0.025,9,0.604167,1.2,23,0.4,0.7,23,18.558333,31.9,19
Arizona,Maricopa,2024-01-06,CENTRAL PHOENIX,0.015941,0.026,11,0.208333,1.0,1,0.45,0.9,2,16.958333,31.0,21
Arizona,Maricopa,2024-01-06,JLG SUPERSITE,0.015588,0.027,10,0.575,1.4,8,0.554167,1.0,2,18.354167,31.0,20
Arizona,Maricopa,2024-01-07,CENTRAL PHOENIX,0.027118,0.035,10,0.0,0.0,0,0.1875,0.5,1,9.75,20.0,20
Arizona,Maricopa,2024-01-07,JLG SUPERSITE,0.024471,0.033,10,0.4,1.0,13,0.279167,0.5,1,10.2625,25.0,20
Arizona,Maricopa,2024-01-08,CENTRAL PHOENIX,0.015294,0.029,10,0.041667,1.0,21,0.245833,0.4,22,17.375,33.0,20
Arizona,Maricopa,2024-01-08,JLG SUPERSITE,0.015353,0.032,10,0.461905,0.9,0,0.241667,0.4,12,17.425,35.4,19
Arizona,Maricopa,2024-01-09,CENTRAL PHOENIX,0.010588,0.022,9,0.333333,2.0,21,0.354167,0.8,23,18.625,36.0,20
Arizona,Maricopa,2024-01-09,JLG SUPERSITE,0.010118,0.024,10,0.783333,2.0,7,0.541667,0.8,11,22.9,38.1,19
Arizona,Maricopa,2024-01-10,CENTRAL PHOENIX,0.010471,0.021,10,0.416667,2.0,20,0.454167,0.9,0,21.375,37.0,19
Arizona,Maricopa,2024-01-10,JLG SUPERSITE,0.012,0.025,10,0.945833,1.8,21,0.775,0.9,0,23.820833,36.1,19
Arizona,Maricopa,2024-01-11,CENTRAL PHOENIX,0.021588,0.037,11,0.086957,1.0,8,0.320833,0.7,0,15.136364,28.0,9
Arizona,Maricopa,2024-01-11,JLG SUPERSITE,0.021235,0.036,11,0.35,1.1,0,0.370833,0.8,0,13.816667,25.8,8
Arizona,Maricopa,2024-01-12,CENTRAL PHOENIX,0.012824,0.027,9,0.291667,2.0,21,0.383333,0.9,23,21.375,39.0,19
Arizona,Maricopa,2024-01-12,JLG SUPERSITE,0.013059,0.031,9,0.479167,1.5,22,0.408333,0.8,23,21.8625,38.7,19
Arizona,Maricopa,2024-01-13,CENTRAL PHOENIX,0.013059,0.026,10,0.666667,2.0,8,0.608333,1.0,23,22.625,40.0,19
Arizona,Maricopa,2024-01-13,JLG SUPERSITE,0.015077,0.026,10,0.954167,1.7,22,0.7375,1.0,1,26.4375,40.4,20
Arizona,Maricopa,2024-01-14,CENTRAL PHOENIX,0.015941,0.034,10,0.333333,2.0,20,0.504167,1.2,23,18.416667,42.0,20
Arizona,Maricopa,2024-01-15,CENTRAL PHOENIX,0.012118,0.028,10,0.583333,2.0,22,0.7,1.5,2,27.333333,48.0,19
